Year,Population,Yearly % Change,Net Change,Density (P/Km²)
2026,8300678395,0.0084,69065325,56
2025,8231613070,0.0085,69640498,55
2024,8161972572,0.0087,70237642,55
2023,8091734930,0.0088,70327738,54
2022,8021407192,0.0084,66958801,54
2021,7954448391,0.0086,67447099,53
2020,7887001292,0.0097,75707594,53
2019,7811293698,0.0105,81390917,52
2018,7729902781,0.011,84284827,52
2017,7645617954,0.0115,87063428,51
2016,7558554526,0.0118,88062654,51
2015,7470491872,0.012,88875628,50
2014,7381616244,0.0123,89822659,50
2013,7291793585,0.0126,90591100,49
2012,7201202485,0.0127,90278720,48
2011,7110923765,0.0127,89191617,48
2010,7021732148,0.0128,88965732,47
2009,6932766416,0.0129,88308754,47
2008,6844457662,0.0129,87148881,46
2007,6757308781,0.0129,85856766,45
2006,6671452015,0.0128,84481883,45
2005,6586970132,0.0129,83592360,44
2004,6503377772,0.0129,83016138,44
2003,6420361634,0.013,82631292,43
2002,6337730342,0.0132,82793883,43
2001,6254936459,0.0135,83233466,42
2000,6171702993,0.0136,82696654,41
1999,6089006339,0.0136,81939649,41
1998,6007066690,0.0139,82278874,40
1997,5924787816,0.0142,82732082,40
1996,5842055734,0.0144,83176752,39
1995,5758878982,0.0147,83327727,39
1994,5675551255,0.015,84006458,38
1993,5591544797,0.0155,85554981,38
1992,5505989816,0.0161,87253925,37
1991,5418735891,0.0171,90932781,36
1990,5327803110,0.0178,93371378,36
1989,5234431732,0.018,92439190,35
1988,5141992542,0.0183,92246145,35
1987,5049746397,0.0185,91673559,34
1986,4958072838,0.0183,89129373,33
1985,4868943465,0.0181,86767946,33
1984,4782175519,0.0181,84847946,32
1983,4697327573,0.0184,84654152,32
1982,4612673421,0.0185,83896115,31
1981,4528777306,0.0183,81171070,30
1980,4447606236,0.0181,79066708,30
1979,4368539528,0.0178,76442026,29
1978,4292097502,0.0176,74233706,29
1977,4217863796,0.0178,73617419,28
1976,4144246377,0.0181,73511100,28
1975,4070735277,0.0186,74319181,27
1974,3996416096,0.0193,75611054,27
1973,3920805042,0.0197,75887362,26
1972,3844917680,0.0199,75069815,26
1971,3769847865,0.0203,75164071,25
1970,3694683794,0.0208,75192215,25
1969,3619491579,0.021,74304328,24
1968,3545187251,0.0207,71774371,24
1967,3473412880,0.0204,69371755,23
1966,3404041125,0.0208,69507422,23
1965,3334533703,0.0215,70046364,22
1964,3264487339,0.0225,71679511,22
1963,3192807828,0.0222,69433513,21
1962,3123374315,0.0191,58504640,21
1961,3064869675,0.0164,49398781,21
1960,3015470894,0.0167,49520543,20
1959,2965950351,0.0188,54700680,20
1958,2911249671,0.0206,58631334,20
1957,2852618337,0.0205,57208343,19
1956,2795409994,0.0201,55196202,19
1955,2740213792,0.0202,54318932,18
1954,2685894860,0.0197,51788625,18
1953,2634106235,0.0194,50019896,18
1952,2584086339,0.0186,47159304,17
1951,2536927035,0.0176,43834187,17
